Year  LAIUnit Area  Fortnight        L<=9   
108   C2      Buchan 16-30Sep         533   
108   D2      CNS    16-30Sep       11201   
108   E6      SNS    16-31Dec        8426   
108   E7      SNS    01-15Jan        2317   
108   E8      SNS    16-31Jan        4008   
109   B2      Or/Sh  16-30Sep        7543   
109   C2      Buchan 16-30Sep        4629   
109   D2      CNS    16-30Sep        4219   
109   E6      SNS    16-31Dec       15295   
109   E7      SNS    01-15Jan       14712   
109   E8      SNS    16-31Jan        1689   
110   B2      Or/Sh  16-30Sep        2362   
110   C2      Buchan 16-30Sep        1493   
110   D2      CNS    16-30Sep        2317   
110   E6      SNS    16-31Dec        7493   
110   E7      SNS    01-15Jan       13230   
110   E8      SNS    16-31Jan        8073   
111   B2      Or/Sh  16-30Sep        3831
111   C2      Buchan 16-30Sep        2839
111   D2      CNS    16-30Sep       17766
111   E6      SNS    16-31Dec        5461
111   E7      SNS    01-15Jan        6160
111   E8      SNS    16-31Jan        1215
112   B2      Or/Sh  16-30Sep       19552 
112   C2      Buchan 16-30Sep        5856 
112   D2      CNS    16-30Sep         517 
112   E6      SNS    16-31Dec       22768 
112   E7      SNS    01-15Jan       11103 
112   E8      SNS    16-31Jan        3285 
113   B2      Or/Sh  16-30Sep       21282
113   C2      Buchan 16-30Sep        8618
113   D2      CNS    16-30Sep        7354
113   E6      SNS    16-31Dec           5
113   E7      SNS    01-15Jan        9314
113   E8      SNS    16-31Jan        2957
114   B2      Or/Sh  16-30Sep        6604 
114   C2      Buchan 16-30Sep        5033
114   D2      CNS    16-30Sep        1149
114   E8      SNS    16-31Jan        1851
115   B2      Or/Sh  16-30Sep        9631
115   C2      Buchan 16-30Sep        3496
115   D2      CNS    16-30Sep        3424
115   E6      SNS    16-31Dec        2011
115   E7      SNS    01-15Jan        1200
115   E8      SNS    16-31Jan         645
116   C2      Buchan 16-30Sep	     3872
116   D2      CNS    16-30Sep	     3288
116   E6      SNS    16-31Dec	    20710
116   E7      SNS    01-15Jan	     1442
116   E8      SNS    16-31Jan	     1545
