"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"472" 1994.25 1994.5 2 0.39 1 25 29.27 29.27 1
"667" 1994.25 1994.5 3 0.44 1 50 46.88 46.88 1
"862" 1994.25 1994.5 4 0.44 1 56 0 0 1
"83" 1994.5 1994.75 0 0.29 0 4 5.4 5.4 1
"278" 1994.5 1994.75 1 0.29 0.2 25 29.26 29.26 1
"473" 1994.5 1994.75 2 0.39 1 40 38.91 38.91 1
"668" 1994.5 1994.75 3 0.44 1 60 53.95 53.95 1
"863" 1994.5 1994.75 4 0.44 1 0 0 0 1
"84" 1994.75 1995 0 0.29 0 6 8.81 8.81 1
"279" 1994.75 1995 1 0.29 0.2 25 31.23 31.23 1
"474" 1994.75 1995 2 0.39 1 40 49.59 49.59 1
"669" 1994.75 1995 3 0.44 1 58 0 0 1
"864" 1994.75 1995 4 0.44 1 0 0 0 1
"85" 1995 1995.25 0 0.29 0 0 0 0 1
"280" 1995 1995.25 1 0.29 0.2 9 7.7 7.7 1
"475" 1995 1995.25 2 0.39 1 25 24.69 24.69 1
"670" 1995 1995.25 3 0.44 1 40 50.78 50.78 1
"865" 1995 1995.25 4 0.44 1 56 0 0 1
"86" 1995.25 1995.5 0 0.29 0 0 0 0 1
"281" 1995.25 1995.5 1 0.29 0.2 12 10.99 10.99 1
"476" 1995.25 1995.5 2 0.39 1 25 22.95 22.95 1
"671" 1995.25 1995.5 3 0.44 1 50 37.69 37.69 1
"866" 1995.25 1995.5 4 0.44 1 56 0 0 1
"87" 1995.5 1995.75 0 0.29 0 4 5.01 5.01 1
"282" 1995.5 1995.75 1 0.29 0.2 25 25.37 25.37 1
"477" 1995.5 1995.75 2 0.39 1 40 33.4 33.4 1
"672" 1995.5 1995.75 3 0.44 1 60 45.56 45.56 1
"867" 1995.5 1995.75 4 0.44 1 0 0 0 1
"88" 1995.75 1996 0 0.29 0 6 7.19 7.19 1
"283" 1995.75 1996 1 0.29 0.2 25 24.6 24.6 1
"478" 1995.75 1996 2 0.39 1 40 39.57 39.57 1
"673" 1995.75 1996 3 0.44 1 58 57 57 1
"868" 1995.75 1996 4 0.44 1 0 0 0 1
"89" 1996 1996.25 0 0.29 0 0 0 0 1
"284" 1996 1996.25 1 0.29 0.2 9 8.95 8.95 1
"479" 1996 1996.25 2 0.39 1 25 21.47 21.47 1
"674" 1996 1996.25 3 0.44 1 40 37.58 37.58 1
"869" 1996 1996.25 4 0.44 1 56 0 0 1
"90" 1996.25 1996.5 0 0.29 0 0 0 0 1
"285" 1996.25 1996.5 1 0.29 0.2 12 12.06 12.06 1
"480" 1996.25 1996.5 2 0.39 1 25 25.72 25.72 1
