"t1" "t2" "ageFrom" "ageTo" "obs" "fleet"
"237" 1984.25 1984.5 1 1 2252.3 1
"432" 1984.25 1984.5 2 2 1164.53 1
"627" 1984.25 1984.5 3 3 268.66 1
"822" 1984.25 1984.5 4 4 0 1
"43" 1984.5 1984.75 0 0 1.01 1
"983" 1984.5 1984.75 0 0 0 2
"1798" 1984.5 1984.75 0 0 0 4
"2003" 1984.5 1984.75 0 0 0 5
"2208" 1984.5 1984.75 0 0 0 6
"238" 1984.5 1984.75 1 1 5290.38 1
"1106" 1984.5 1984.75 1 1 5238 2
"1839" 1984.5 1984.75 1 1 0 4
"2044" 1984.5 1984.75 1 1 0 5
"2248" 1984.5 1984.75 1 1 0 6
"433" 1984.5 1984.75 2 2 1682.66 1
"1229" 1984.5 1984.75 2 2 1666 2
"1880" 1984.5 1984.75 2 2 0 4
"2085" 1984.5 1984.75 2 2 0 5
"2288" 1984.5 1984.75 2 2 0 6
"628" 1984.5 1984.75 3 3 8.08 1
"1352" 1984.5 1984.75 3 3 8 2
"1921" 1984.5 1984.75 3 3 0 4
"2126" 1984.5 1984.75 3 3 0 5
"2328" 1984.5 1984.75 3 3 0 6
"823" 1984.5 1984.75 4 4 0 1
"1475" 1984.5 1984.75 4 4 0 2
"1962" 1984.5 1984.75 4 4 0 4
"2167" 1984.5 1984.75 4 4 0 5
"2368" 1984.5 1984.75 4 4 0 6
"44" 1984.75 1985 0 0 2231.09 1
"984" 1984.75 1985 0 0 2209 2
"239" 1984.75 1985 1 1 3491.57 1
"1107" 1984.75 1985 1 1 3457 2
"434" 1984.75 1985 2 2 734.27 1
"1230" 1984.75 1985 2 2 727 2
"629" 1984.75 1985 3 3 0 1
"1353" 1984.75 1985 3 3 0 2
"824" 1984.75 1985 4 4 0 1
"1476" 1984.75 1985 4 4 0 2
"45" 1985 1985.25 0 0 0 1
"985" 1985 1985.25 0 0 0 2
"1594" 1985 1985.25 0 0 0 3
"240" 1985 1985.25 1 1 2264.44 1
"1108" 1985 1985.25 1 1 2220 2
"1635" 1985 1985.25 1 1 2342 3
"435" 1985 1985.25 2 2 1363.74 1
"1231" 1985 1985.25 2 2 1337 2
"1676" 1985 1985.25 2 2 1401 3
"630" 1985 1985.25 3 3 191.76 1
"1354" 1985 1985.25 3 3 188 2
"1717" 1985 1985.25 3 3 98 3
"825" 1985 1985.25 4 4 0.714 1
"1477" 1985 1985.25 4 4 0.7 2
"1758" 1985 1985.25 4 4 7 3
"46" 1985.25 1985.5 0 0 0 1
"241" 1985.25 1985.5 1 1 856.8 1
"436" 1985.25 1985.5 2 2 144.84 1
"631" 1985.25 1985.5 3 3 13.26 1
"826" 1985.25 1985.5 4 4 0 1
"47" 1985.5 1985.75 0 0 6.12 1
"986" 1985.5 1985.75 0 0 0 2
"1799" 1985.5 1985.75 0 0 0 4
"2004" 1985.5 1985.75 0 0 0 5
"2209" 1985.5 1985.75 0 0 0 6
"242" 1985.5 1985.75 1 1 1400.46 1
"1109" 1985.5 1985.75 1 1 1373 2
"1840" 1985.5 1985.75 1 1 0 4
"2045" 1985.5 1985.75 1 1 0 5
"2249" 1985.5 1985.75 1 1 0 6
"437" 1985.5 1985.75 2 2 792.54 1
"1232" 1985.5 1985.75 2 2 777 2
"1881" 1985.5 1985.75 2 2 0 4
"2086" 1985.5 1985.75 2 2 0 5
"2289" 1985.5 1985.75 2 2 0 6
"632" 1985.5 1985.75 3 3 19.38 1
"1355" 1985.5 1985.75 3 3 19 2
"1922" 1985.5 1985.75 3 3 0 4
"2127" 1985.5 1985.75 3 3 0 5
"2329" 1985.5 1985.75 3 3 0 6
"827" 1985.5 1985.75 4 4 0 1
"1478" 1985.5 1985.75 4 4 0 2
"1963" 1985.5 1985.75 4 4 0 4
"2168" 1985.5 1985.75 4 4 0 5
"2369" 1985.5 1985.75 4 4 0 6
"48" 1985.75 1986 0 0 678.3 1
"987" 1985.75 1986 0 0 665 2
"243" 1985.75 1986 1 1 2990.64 1
"1110" 1985.75 1986 1 1 2932 2
"438" 1985.75 1986 2 2 174.42 1
"1233" 1985.75 1986 2 2 171 2
"633" 1985.75 1986 3 3 0 1
"1356" 1985.75 1986 3 3 0 2
"828" 1985.75 1986 4 4 0 1
"1479" 1985.75 1986 4 4 0 2
"49" 1986 1986.25 0 0 0 1
"988" 1986 1986.25 0 0 0 2
"1595" 1986 1986.25 0 0 0 3
"244" 1986 1986.25 1 1 396.28 1
"1111" 1986 1986.25 1 1 395 2
"1636" 1986 1986.25 1 1 2066 3
"439" 1986 1986.25 2 2 1069.46 1
"1234" 1986 1986.25 2 2 1066 2
"1677" 1986 1986.25 2 2 386 3
"634" 1986 1986.25 3 3 72.23 1
"1357" 1986 1986.25 3 3 72 2
"1718" 1986 1986.25 3 3 19 3
"829" 1986 1986.25 4 4 3.01 1
"1480" 1986 1986.25 4 4 3 2
"1759" 1986 1986.25 4 4 3 3
"50" 1986.25 1986.5 0 0 0 1
"245" 1986.25 1986.5 1 1 260.33 1
"440" 1986.25 1986.5 2 2 86.78 1
"635" 1986.25 1986.5 3 3 2.89 1
"830" 1986.25 1986.5 4 4 0 1
"51" 1986.5 1986.75 0 0 0 1
"989" 1986.5 1986.75 0 0 0 2
"1800" 1986.5 1986.75 0 0 0 4
"2005" 1986.5 1986.75 0 0 0 5
"2210" 1986.5 1986.75 0 0 0 6
"246" 1986.5 1986.75 1 1 1186 1
"1112" 1986.5 1986.75 1 1 1186 2
"1841" 1986.5 1986.75 1 1 0 4
"2046" 1986.5 1986.75 1 1 0 5
"2250" 1986.5 1986.75 1 1 0 6
"441" 1986.5 1986.75 2 2 245 1
"1235" 1986.5 1986.75 2 2 245 2
"1882" 1986.5 1986.75 2 2 0 4
"2087" 1986.5 1986.75 2 2 0 5
"2290" 1986.5 1986.75 2 2 0 6
"636" 1986.5 1986.75 3 3 6 1
"1358" 1986.5 1986.75 3 3 6 2
"1923" 1986.5 1986.75 3 3 0 4
"2128" 1986.5 1986.75 3 3 0 5
"2330" 1986.5 1986.75 3 3 0 6
"831" 1986.5 1986.75 4 4 0 1
"1481" 1986.5 1986.75 4 4 0 2
"1964" 1986.5 1986.75 4 4 0 4
"2169" 1986.5 1986.75 4 4 0 5
"2370" 1986.5 1986.75 4 4 0 6
"52" 1986.75 1987 0 0 5571.53 1
"990" 1986.75 1987 0 0 5436 2
"247" 1986.75 1987 1 1 1790.59 1
"1113" 1986.75 1987 1 1 1687 2
"442" 1986.75 1987 2 2 38.9 1
"1236" 1986.75 1987 2 2 36 2
"637" 1986.75 1987 3 3 0 1
"1359" 1986.75 1987 3 3 0 2
"832" 1986.75 1987 4 4 0 1
"1482" 1986.75 1987 4 4 0 2
"53" 1987 1987.25 0 0 0 1
"991" 1987 1987.25 0 0 0 2
"1596" 1987 1987.25 0 0 0 3
"248" 1987 1987.25 1 1 2687.3 1
"1114" 1987 1987.25 1 1 2665 2
"1637" 1987 1987.25 1 1 3171 3
"443" 1987 1987.25 2 2 401.33 1
"1237" 1987 1987.25 2 2 398 2
"1678" 1987 1987.25 2 2 475 3
"638" 1987 1987.25 3 3 12.1 1
"1360" 1987 1987.25 3 3 12 2
"1719" 1987 1987.25 3 3 63 3
"833" 1987 1987.25 4 4 1.01 1
"1483" 1987 1987.25 4 4 1 2
"1760" 1987 1987.25 4 4 6 3
"54" 1987.25 1987.5 0 0 0 1
"249" 1987.25 1987.5 1 1 1075.44 1
"444" 1987.25 1987.5 2 2 60.14 1
"639" 1987.25 1987.5 3 3 0 1
"834" 1987.25 1987.5 4 4 0 1
"55" 1987.5 1987.75 0 0 8 1
"992" 1987.5 1987.75 0 0 0 2
"1801" 1987.5 1987.75 0 0 0 4
"2006" 1987.5 1987.75 0 0 0 5
"2211" 1987.5 1987.75 0 0 0 6
"250" 1987.5 1987.75 1 1 1626.63 1
"1115" 1987.5 1987.75 1 1 1585 2
